CM1,roc_auc_svm,roc_auc_byes,roc_auc_tree
1,0.520788508,0.648991871,0.595453576
2,0.469614602,0.642124243,0.594085802
3,0.465829577,0.681058467,0.545597004
4,0.50454591,0.66994169,0.539187032
5,0.458189238,0.703137588,0.499353594
6,0.497820353,0.737362529,0.490563859
7,0.484086516,0.725610223,0.49178858
8,0.508899045,0.715703394,0.486575868
9,0.549285383,0.717856848,0.543281773
10,0.518319999,0.728307856,0.570602364
11,0.458755581,0.719995667,0.569770755
12,0.482718394,0.720782327,0.549939084
13,0.529149383,0.732761621,0.528394123
14,0.523023177,0.731736879,0.533287481
15,0.549571426,0.730909651,0.535928442
16,0.545795647,0.735400619,0.551957435
17,0.531022472,0.739442029,0.547019953
18,0.552426812,0.742864327,0.544705962
19,0.521026433,0.736563169,0.554541882
20,0.559648013,0.751872108,0.58605697
21,0.551677323,0.734848436,0.574603105
22,0.58978933,0.733038396,0.58930626
23,0.534764563,0.752297079,0.588294071
24,0.551085174,0.740504884,0.596686753
25,0.64554775,0.733735678,0.58054268
26,0.607744855,0.738763214,0.594156101
27,0.643023799,0.731618028,0.564368091
28,0.681445325,0.722495369,0.604521887
29,0.692973968,0.72848525,0.574126573
30,0.70877702,0.722197171,0.583382024
31,0.723542761,0.7119091,0.57294867
32,0.726810703,0.716307047,0.588581968
33,0.71570603,0.710156634,0.599179113
34,0.735053848,0.722399441,0.59607288
35,0.72443942,0.709096875,0.588550754
36,0.702616749,0.712452597,0.579822553
37,0.724517873,0.722003702,0.560980855
,0.520788508,0.681058467,0.595453576
,,,
,0.735053848,0.752297079,0.604521887
