JM1,roc_auc_svm,roc_auc_byes,roc_auc_tree
1,0.571239228,0.522866169,0.534468802
2,0.563461038,0.522505213,0.532697593
3,0.642127772,0.579850018,0.554800341
4,0.613512969,0.593159532,0.559656219
5,0.611367911,0.59765862,0.565028566
6,0.631891298,0.600371684,0.56528378
7,0.627615832,0.60674892,0.578262162
8,0.604089202,0.607193397,0.582932865
9,0.605918333,0.619168789,0.576622418
10,0.601035737,0.620610999,0.579052123
11,0.603722259,0.624648758,0.576696751
12,0.603795544,0.624898607,0.58075724
13,0.621846489,0.630748,0.586936129
14,0.614374163,0.633615559,0.589848694
15,0.609287211,0.638524028,0.590600406
16,0.606547175,0.637639406,0.588615227
17,0.602856179,0.636937412,0.591787923
18,0.609326024,0.636520164,0.593353906
19,0.610266645,0.635674307,0.591872522
20,0.609100735,0.641823134,0.59262796
21,0.610831909,0.682283745,0.590133912
,0.642127772,0.593159532,0.559656219
,0.642127772,0.682283745,0.593353906
