KC1,roc_auc_svm,roc_auc_byes,roc_auc_tree
1,0.544442103,0.782148986,0.502176312
2,0.670434363,0.792728658,0.523907845
3,0.623360408,0.793186375,0.532508253
4,0.663934407,0.794460758,0.526572234
5,0.686014592,0.793202863,0.529219841
6,0.64708506,0.79148205,0.592754938
7,0.633102818,0.797329768,0.601519709
8,0.665034311,0.796161355,0.61030448
9,0.67210623,0.796359891,0.620336357
10,0.67311223,0.796144856,0.620236486
11,0.677277257,0.797703834,0.616384728
12,0.679570778,0.798100452,0.619689986
13,0.660158528,0.796948945,0.617955822
14,0.687249372,0.797756206,0.615804049
15,0.683014506,0.796678807,0.620486083
16,0.688745911,0.796390562,0.624830502
17,0.69440478,0.797687931,0.620357114
18,0.693458954,0.796091069,0.617846515
19,0.692290058,0.798191901,0.628925817
20,0.675995831,0.790363462,0.622048035
21,0.671061492,0.790979922,0.616500299
,0.670434363,0.794460758,0.532508253
,0.69440478,0.798191901,0.628925817
