MC2,roc_auc_svm,roc_auc_byes,roc_auc_tree
1,0.598850379,0.598579545,0.589457973
2,0.597844186,0.607023058,0.572524995
3,0.626901136,0.609615019,0.536918651
4,0.624500631,0.602912118,0.573983405
5,0.614896705,0.587147934,0.538183983
6,0.60015401,0.590278108,0.563652056
7,0.597519511,0.611650207,0.559616183
8,0.66127907,0.629756373,0.544827787
9,0.671095779,0.631069084,0.597785987
10,0.682869459,0.622642917,0.579652586
11,0.664708724,0.613056698,0.58442433
12,0.65360116,0.605215667,0.575933802
13,0.661253367,0.608865245,0.567798658
14,0.655274982,0.622800956,0.540484488
15,0.645600499,0.618646705,0.584000902
16,0.675594722,0.646473785,0.55907215
17,0.673477273,0.6455743,0.559941558
18,0.656175056,0.654262972,0.548500361
19,0.666913544,0.636120175,0.58016948
20,0.651212422,0.65757785,0.603075036
21,0.649286526,0.633210212,0.569840548
22,0.669026665,0.651754149,0.5705768
23,0.663369536,0.659847177,0.575275974
24,0.687816568,0.663753412,0.571528051
25,0.677359428,0.671871362,0.571942914
26,0.68437512,0.671106451,0.572600289
27,0.691425776,0.66419951,0.584084596
28,0.68692803,0.668963805,0.584961265
29,0.682344428,0.68529565,0.602384019
30,0.6716826,0.681276756,0.596040043
31,0.677106503,0.689900839,0.616042095
32,0.697594876,0.694866372,0.632777056
33,0.673107383,0.694038661,0.615545996
34,0.709756133,0.711478069,0.594360209
35,0.714556399,0.691540149,0.612325036
36,0.745890152,0.722676181,0.602856962
37,0.743073289,0.71751183,0.596235625
38,0.740242796,0.731417749,0.591213178
39,0.728944925,0.730879244,0.606481299
,0.626901136,0.609615019,0.589457973
,0.745890152,0.731417749,0.632777056
