MW1,roc_auc_svm,roc_auc_byes,roc_auc_tree
1,0.47632642,0.6906565,0.451176267
2,0.661569247,0.706109907,0.565661926
3,0.633714156,0.697703142,0.574744943
4,0.632226318,0.70314134,0.584003747
5,0.677611964,0.702165813,0.595148852
6,0.630213746,0.730327001,0.604916293
7,0.616144518,0.759718888,0.606448061
8,0.693021535,0.75719486,0.61539998
9,0.696594125,0.733259814,0.604897698
10,0.691289054,0.756168039,0.605540596
11,0.692642993,0.769607842,0.61130787
12,0.705992116,0.748080625,0.607749521
13,0.690674337,0.770766268,0.607832759
14,0.68708267,0.762491839,0.605074173
15,0.661630645,0.751824314,0.593520533
16,0.664887798,0.75408141,0.587706754
17,0.666808851,0.758956033,0.557713134
18,0.650224312,0.750389305,0.571914033
19,0.657376693,0.723885554,0.561402393
20,0.691087581,0.755871609,0.618721126
21,0.709925515,0.737620121,0.59093238
22,0.712863232,0.758618242,0.593446402
23,0.736957138,0.758257172,0.599240171
24,0.720328736,0.754288275,0.58400757
25,0.733017562,0.755983056,0.582322944
26,0.709154646,0.732282728,0.601576749
27,0.736264493,0.746796153,0.618560813
28,0.694541712,0.751494682,0.565641862
29,0.686580224,0.758010862,0.575188682
30,0.700621532,0.748132816,0.604482477
31,0.677445093,0.745828381,0.576464401
32,0.690679449,0.733308661,0.593539658
33,0.685996291,0.759638407,0.585295764
34,0.710385145,0.750193302,0.598854728
35,0.69987104,0.748859037,0.613457691
36,0.726137229,0.717576639,0.574622359
37,0.699301494,0.719790658,0.574548081
,0.677611964,0.706109907,0.595148852
,0.736957138,0.770766268,0.618721126
