PC3,roc_auc_svm,roc_auc_byes,roc_auc_tree
1,0.469596427,0.647337804,0.590305727
2,0.462120701,0.646533159,0.585890179
3,0.410041475,0.657839715,0.587993193
4,0.399640281,0.669144203,0.595486163
5,0.531046613,0.674793482,0.578364168
6,0.634309536,0.680134399,0.591846264
7,0.64563726,0.690420021,0.604143658
8,0.622422687,0.716759189,0.614463837
9,0.597739026,0.723249615,0.620099557
10,0.616541313,0.712548438,0.619018967
11,0.623985871,0.704363001,0.606775914
12,0.664183364,0.705065443,0.602510544
13,0.64787365,0.738254367,0.625003983
14,0.649645154,0.738330482,0.626152668
15,0.636810698,0.734804434,0.620933508
16,0.641585938,0.758878682,0.657843202
17,0.639148037,0.753416622,0.661371036
18,0.611108489,0.768195131,0.652587198
19,0.612701017,0.761924838,0.653766957
20,0.621579621,0.757904034,0.649706583
21,0.617917127,0.754661429,0.654220448
22,0.653910888,0.749985538,0.657507834
23,0.660510597,0.749405588,0.6452619
24,0.654999722,0.749394009,0.653797931
25,0.661964895,0.747737557,0.658216045
26,0.665576078,0.759399866,0.64965284
27,0.672476056,0.753682968,0.649436223
28,0.66409452,0.756337774,0.656776025
29,0.687610958,0.75100765,0.646841954
30,0.712118142,0.756041182,0.655712507
31,0.704229692,0.753356839,0.657706823
32,0.72747961,0.756196251,0.646585061
33,0.720414203,0.751856632,0.647660749
34,0.733869555,0.769482804,0.658176953
35,0.738756779,0.768088914,0.657730261
36,0.756192788,0.771626299,0.654191207
37,0.750921075,0.759327623,0.652970222
,0.531046613,0.674793482,0.595486163
,0.756192788,0.771626299,0.661371036
